key,value
materials.conduit_2_in_per_ft,2.6
materials.conduit_3_in_per_ft,3.1
materials.conduit_4_in_per_ft,4.6
materials.hdpe_2_in_per_ft,3.1
materials.hdpe_3_in_per_ft,3.6
materials.hdpe_4_in_per_ft,5.1
materials.sweeps_each,18.0
materials.couplings_each,1.25
materials.primer_and_cement_lump,12.0
materials.wire_al_2_per_ft,2.1
materials.wire_al_1_0_per_ft,2.4
materials.wire_al_4_0_per_ft,3.2
materials.wire_al_350_per_ft,5.5
materials.wire_al_500_per_ft,7.3
materials.pull_string_per_ft,0.05
materials.misc_hardware_lump,25.0
materials.lb_fitting_each,28.0
trenching.sawcut_and_restore_per_ft,22.0
materials.bore_per_ft,22.0
materials.bore_mobilization_lump,350.0
labor.rate_per_hour,85.0
labor.trenching_ft_per_hour,30.0
labor.backfill_ft_per_hour,45.0
labor.conduit_install_ft_per_hour,40.0
labor.wire_pull_ft_per_hour,60.0
labor.terminate_hours,3.0
accessories.pedestal_and_connections_lump,650.0
accessories.pedestal_connections_only_lump,250.0
accessories.pole_35_5_lump,800.0
accessories.pole_40_4_lump,1000.0
accessories.riser_3_lump,250.0
accessories.riser_4_lump,320.0
accessories.xfmr_connections_lump,450.0
accessories.primary_riser_lump,275.0
accessories.primary_existing_xfmr_conn_lump,300.0
accessories.ug_xfmr_25kva_lump,1500.0
accessories.ug_xfmr_50kva_lump,2200.0
accessories.ug_xfmr_75kva_lump,3000.0
accessories.ug_xfmr_100kva_lump,4200.0
accessories.ug_xfmr_167kva_lump,6500.0
accessories.oh_xfmr_25kva_lump,1200.0
accessories.oh_xfmr_37_5kva_lump,1600.0
accessories.oh_xfmr_50kva_lump,2000.0
accessories.oh_xfmr_75kva_lump,2800.0
accessories.oh_xfmr_100kva_lump,3900.0
accessories.oh_xfmr_167kva_lump,6200.0
